time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
45.0,3.15,27.8,13.9,0.3088888888888888888888888888888889
45.1,3.15,27.8,13.9,0.3082039911308203991130820399113082
45.2,3.15,27.8,13.9,0.3075221238938053097345132743362832
45.3,3.15,27.9,13.95,0.3079470198675496688741721854304636
45.4,3.15,28.1,14.05,0.3094713656387665198237885462555066
45.5,3.15,28.3,14.15,0.3109890109890109890109890109890110
45.6,3.15,28.5,14.25,0.3125
45.7,3.15,28.7,14.35,0.3140043763676148796498905908096280
45.8,3.15,28.9,14.45,0.3155021834061135371179039301310044
45.9,3.15,29.1,14.55,0.3169934640522875816993464052287582
46.0,3.15,29.3,14.65,0.3184782608695652173913043478260870
46.1,3.15,29.5,14.75,0.3199566160520607375271149674620390
46.2,3.15,29.7,14.85,0.3214285714285714285714285714285714
46.3,3.15,29.9,14.95,0.3228941684665226781857451403887689
46.4,3.15,30.1,15.05,0.3243534482758620689655172413793103
46.5,3.15,30.3,15.15,0.3258064516129032258064516129032258
46.6,3.15,30.5,15.25,0.3272532188841201716738197424892704
46.7,3.15,30.7,15.35,0.3286937901498929336188436830835118
46.8,3.15,30.9,15.45,0.3301282051282051282051282051282051
46.9,3.15,31.1,15.55,0.3315565031982942430703624733475480
47.0,3.15,31.3,15.65,0.3329787234042553191489361702127660
47.1,3.15,31.5,15.75,0.3343949044585987261146496815286624
47.2,3.15,31.7,15.85,0.3358050847457627118644067796610169
47.3,3.15,31.9,15.95,0.3372093023255813953488372093023256
47.4,3.15,32.1,16.05,0.3386075949367088607594936708860759
47.5,3.15,32.3,16.15,0.34
47.6,3.15,32.5,16.25,0.3413865546218487394957983193277311
47.7,3.15,32.7,16.35,0.3427672955974842767295597484276730
47.8,3.15,32.9,16.45,0.3441422594142259414225941422594142
47.9,3.15,33.1,16.55,0.3455114822546972860125260960334029
48.0,3.15,33.3,16.65,0.346875
48.1,3.15,33.5,16.75,0.3482328482328482328482328482328482
48.2,3.15,33.7,16.85,0.3495850622406639004149377593360996
48.3,3.15,33.9,16.95,0.3509316770186335403726708074534161
48.4,3.15,34.1,17.05,0.3522727272727272727272727272727273
48.5,3.15,34.3,17.15,0.3536082474226804123711340206185567
48.6,3.15,34.5,17.25,0.3549382716049382716049382716049383
48.7,3.15,34.7,17.35,0.3562628336755646817248459958932238
48.8,3.15,34.9,17.45,0.3575819672131147540983606557377049
48.9,3.15,35.1,17.55,0.3588957055214723926380368098159509
49.0,3.15,35.3,17.65,0.3602040816326530612244897959183673
49.1,3.15,35.5,17.75,0.3615071283095723014256619144602851
49.2,3.15,35.7,17.85,0.3628048780487804878048780487804878
49.3,3.15,35.9,17.95,0.3640973630831643002028397565922921
49.4,3.15,36.1,18.05,0.3653846153846153846153846153846154
49.5,3.15,36.3,18.15,0.3666666666666666666666666666666667
49.6,3.15,36.5,18.25,0.3679435483870967741935483870967742
49.7,3.15,36.7,18.35,0.3692152917505030181086519114688129
49.8,3.15,36.9,18.45,0.3704819277108433734939759036144578
49.9,3.15,37.1,18.55,0.3717434869739478957915831663326653
50.0,3.15,37.3,18.65,0.373
50.1,3.15,37.5,18.75,0.3742514970059880239520958083832335
50.2,3.15,37.7,18.85,0.3754980079681274900398406374501992
50.3,3.15,37.9,18.95,0.3767395626242544731610337972166998
50.4,3.15,38.1,19.05,0.3779761904761904761904761904761905
50.5,3.15,38.3,19.15,0.3792079207920792079207920792079208
50.6,3.15,38.5,19.25,0.3804347826086956521739130434782609
50.7,3.15,38.7,19.35,0.3816568047337278106508875739644970
50.8,3.15,38.9,19.45,0.3828740157480314960629921259842520
50.9,3.15,39.1,19.55,0.3840864440078585461689587426326130
51.0,3.15,39.3,19.65,0.3852941176470588235294117647058824
51.1,3.15,39.5,19.75,0.3864970645792563600782778864970646
51.2,3.15,39.7,19.85,0.3876953125
51.3,3.15,39.9,19.95,0.3888888888888888888888888888888889
51.4,3.15,40.1,20.05,0.3900778210116731517509727626459144
51.5,3.15,40.3,20.15,0.3912621359223300970873786407766990
51.6,3.15,40.5,20.25,0.3924418604651162790697674418604651
51.7,3.15,40.7,20.35,0.3936170212765957446808510638297872
51.8,3.15,40.9,20.45,0.3947876447876447876447876447876448
51.9,3.15,41.1,20.55,0.3959537572254335260115606936416185
52.0,3.15,41.3,20.65,0.3971153846153846153846153846153846
52.1,3.15,41.5,20.75,0.3982725527831094049904030710172745
52.2,3.15,41.7,20.85,0.3994252873563218390804597701149425
52.3,3.15,41.9,20.95,0.4005736137667304015296367112810707
52.4,3.15,42.1,21.05,0.4017175572519083969465648854961832
52.5,3.15,42.3,21.15,0.4028571428571428571428571428571429
52.6,3.15,42.5,21.25,0.4039923954372623574144486692015209
52.7,3.15,42.7,21.35,0.4051233396584440227703984819734345
52.8,3.15,42.9,21.45,0.40625
52.9,3.15,43.1,21.55,0.4073724007561436672967863894139887
53.0,3.15,43.3,21.65,0.4084905660377358490566037735849057
53.1,3.15,43.5,21.75,0.4096045197740112994350282485875706
53.2,3.15,43.7,21.85,0.4107142857142857142857142857142857
53.3,3.15,43.9,21.95,0.4118198874296435272045028142589118
53.4,3.15,44.1,22.05,0.4129213483146067415730337078651685
53.5,3.15,44.3,22.15,0.4140186915887850467289719626168224
53.6,3.15,44.5,22.25,0.4151119402985074626865671641791045
53.7,3.15,44.7,22.35,0.4162011173184357541899441340782123
53.8,3.15,44.9,22.45,0.4172862453531598513011152416356877
53.9,3.15,45.1,22.55,0.4183673469387755102040816326530612
54.0,3.15,45.3,22.65,0.4194444444444444444444444444444444
54.1,3.15,45.5,22.75,0.4205175600739371534195933456561922
54.2,3.15,45.7,22.85,0.4215867158671586715867158671586716
54.3,3.15,45.9,22.95,0.4226519337016574585635359116022099
54.4,3.15,46.1,23.05,0.4237132352941176470588235294117647
54.5,3.15,46.3,23.15,0.4247706422018348623853211009174312
54.6,3.15,46.5,23.25,0.4258241758241758241758241758241758
54.7,3.15,46.7,23.35,0.4268738574040219378427787934186472
54.8,3.15,46.9,23.45,0.4279197080291970802919708029197080
54.9,3.15,47.1,23.55,0.4289617486338797814207650273224044
55.0,3.15,47.3,23.65,0.43
55.1,3.15,47.5,23.75,0.4310344827586206896551724137931034
55.2,3.15,47.7,23.85,0.4320652173913043478260869565217391
55.3,3.15,47.9,23.95,0.4330922242314647377938517179023508
55.4,3.15,48.1,24.05,0.4341155234657039711191335740072202
55.5,3.15,48.3,24.15,0.4351351351351351351351351351351351
55.6,3.15,48.5,24.25,0.4361510791366906474820143884892086
55.7,3.15,48.7,24.35,0.4371633752244165170556552962298025
55.8,3.15,48.9,24.45,0.4381720430107526881720430107526882
55.9,3.15,49.1,24.55,0.4391771019677996422182468694096601
56.0,3.15,49.3,24.65,0.4401785714285714285714285714285714
56.1,3.15,49.5,24.75,0.4411764705882352941176470588235294
56.2,3.15,49.7,24.85,0.4421708185053380782918149466192171
56.3,3.15,49.9,24.95,0.4431616341030195381882770870337478
56.4,3.15,50.1,25.05,0.4441489361702127659574468085106383
56.5,3.15,50.3,25.15,0.4451327433628318584070796460176991
56.6,3.15,50.5,25.25,0.4461130742049469964664310954063604
56.7,3.15,50.7,25.35,0.4470899470899470899470899470899471
56.8,3.15,50.9,25.45,0.4480633802816901408450704225352113
56.9,3.15,51.1,25.55,0.4490333919156414762741652021089631
57.0,3.15,51.3,25.65,0.45
57.1,3.15,51.5,25.75,0.4509632224168126094570928196147110
57.2,3.15,51.7,25.85,0.4519230769230769230769230769230769
57.3,3.15,51.9,25.95,0.4528795811518324607329842931937173
57.4,3.15,52.1,26.05,0.4538327526132404181184668989547038
57.5,3.15,52.3,26.15,0.4547826086956521739130434782608696
57.6,3.15,52.5,26.25,0.4557291666666666666666666666666667
57.7,3.15,52.7,26.35,0.4566724436741767764298093587521664
57.8,3.15,52.9,26.45,0.4576124567474048442906574394463668
57.9,3.15,53.1,26.55,0.4585492227979274611398963730569948
58.0,3.15,53.3,26.65,0.4594827586206896551724137931034483
58.1,3.15,53.5,26.75,0.4604130808950086058519793459552496
58.2,3.15,53.7,26.85,0.4613402061855670103092783505154639
58.3,3.15,53.9,26.95,0.4622641509433962264150943396226415
58.4,3.15,54.1,27.05,0.4631849315068493150684931506849315
58.5,3.15,54.3,27.15,0.4641025641025641025641025641025641
58.6,3.15,54.5,27.25,0.4650170648464163822525597269624573
58.7,3.15,54.7,27.35,0.4659284497444633730834752981260647
58.8,3.15,54.9,27.45,0.4668367346938775510204081632653061
58.9,3.15,55.1,27.55,0.4677419354838709677419354838709677
59.0,3.15,55.3,27.65,0.4686440677966101694915254237288136
59.1,3.15,55.5,27.75,0.4695431472081218274111675126903553
59.2,3.15,55.7,27.85,0.4704391891891891891891891891891892
59.3,3.15,55.9,27.95,0.4713322091062394603709949409780776
59.4,3.15,56.1,28.05,0.4722222222222222222222222222222222
59.5,3.15,56.3,28.15,0.4731092436974789915966386554621849
59.6,3.15,56.5,28.25,0.4739932885906040268456375838926174
59.7,3.15,56.7,28.35,0.4748743718592964824120603015075377
59.8,3.15,56.9,28.45,0.4757525083612040133779264214046823
59.9,3.20,57.0,28.5,0.4757929883138564273789649415692821
60.0,3.30,57.0,28.5,0.475
60.1,3.40,57.0,28.5,0.4742096505823627287853577371048253
60.2,3.50,57.0,28.5,0.4734219269102990033222591362126246
60.3,3.60,57.0,28.5,0.4726368159203980099502487562189055
60.4,3.70,57.0,28.5,0.4718543046357615894039735099337748
60.5,3.80,57.0,28.5,0.4710743801652892561983471074380165
60.6,3.90,57.0,28.5,0.4702970297029702970297029702970297
60.7,4.00,57.0,28.5,0.4695222405271828665568369028006590
60.8,4.10,57.0,28.5,0.46875
60.9,4.20,57.0,28.5,0.4679802955665024630541871921182266
61.0,4.30,57.0,28.5,0.4672131147540983606557377049180328
61.1,4.35,57.0,28.5,0.4664484451718494271685761047463175
61.2,4.35,57.0,28.5,0.4656862745098039215686274509803922
61.3,4.35,57.0,28.5,0.4649265905383360522022838499184339
61.4,4.35,57.0,28.5,0.4641693811074918566775244299674267
61.5,4.35,57.0,28.5,0.4634146341463414634146341463414634
61.6,4.35,57.0,28.5,0.4626623376623376623376623376623377
61.7,4.35,57.0,28.5,0.4619124797406807131280388978930308
61.8,4.35,57.0,28.5,0.4611650485436893203883495145631068
61.9,4.35,57.0,28.5,0.4604200323101777059773828756058158
62.0,4.35,57.0,28.5,0.4596774193548387096774193548387097
62.1,4.35,57.0,28.5,0.4589371980676328502415458937198068
62.2,4.35,57.0,28.5,0.4581993569131832797427652733118971
62.3,4.35,57.0,28.5,0.4574638844301765650080256821829856
62.4,4.35,57.0,28.5,0.4567307692307692307692307692307692
62.5,4.35,57.0,28.5,0.456
62.6,4.35,57.0,28.5,0.4552715654952076677316293929712460
62.7,4.35,57.0,28.5,0.4545454545454545454545454545454545
62.8,4.35,57.0,28.5,0.4538216560509554140127388535031847
62.9,4.35,57.0,28.5,0.4531001589825119236883942766295707
63.0,4.35,57.0,28.5,0.4523809523809523809523809523809524
63.1,4.35,57.0,28.5,0.4516640253565768621236133122028526
63.2,4.35,57.0,28.5,0.4509493670886075949367088607594937
63.3,4.35,57.0,28.5,0.4502369668246445497630331753554502
63.4,4.35,57.0,28.5,0.4495268138801261829652996845425868
63.5,4.35,57.0,28.5,0.4488188976377952755905511811023622
63.6,4.35,57.0,28.5,0.4481132075471698113207547169811321
63.7,4.35,57.0,28.5,0.4474097331240188383045525902668760
63.8,4.35,57.0,28.5,0.4467084639498432601880877742946708
63.9,4.35,57.0,28.5,0.4460093896713615023474178403755869
64.0,4.35,57.0,28.5,0.4453125
64.1,4.35,57.0,28.5,0.4446177847113884555382215288611544
64.2,4.35,57.0,28.5,0.4439252336448598130841121495327103
64.3,4.35,57.0,28.5,0.4432348367029548989113530326594090
64.4,4.35,57.0,28.5,0.4425465838509316770186335403726708
64.5,4.35,57.0,28.5,0.4418604651162790697674418604651163
64.6,4.35,57.0,28.5,0.4411764705882352941176470588235294
64.7,4.35,57.0,28.5,0.4404945904173106646058732612055641
64.8,4.35,57.0,28.5,0.4398148148148148148148148148148148
64.9,4.35,57.0,28.5,0.4391371340523882896764252696456086
65.0,4.35,57.0,28.5,0.4384615384615384615384615384615385
65.1,4.35,57.0,28.5,0.4377880184331797235023041474654378
65.2,4.35,57.0,28.5,0.4371165644171779141104294478527607
65.3,4.35,57.0,28.5,0.4364471669218989280245022970903522
65.4,4.35,57.0,28.5,0.4357798165137614678899082568807339
65.5,4.35,57.0,28.5,0.4351145038167938931297709923664122
65.6,4.35,57.0,28.5,0.4344512195121951219512195121951220
65.7,4.35,57.0,28.5,0.4337899543378995433789954337899543
65.8,4.35,57.0,28.5,0.4331306990881458966565349544072948
65.9,4.35,57.0,28.5,0.4324734446130500758725341426403642
66.0,4.35,57.0,28.5,0.4318181818181818181818181818181818
66.1,4.35,57.0,28.5,0.4311649016641452344931921331316188
66.2,4.35,57.0,28.5,0.4305135951661631419939577039274924
66.3,4.35,57.0,28.5,0.4298642533936651583710407239819005
66.4,4.35,57.0,28.5,0.4292168674698795180722891566265060
66.5,4.35,57.0,28.5,0.4285714285714285714285714285714286
66.6,4.35,57.0,28.5,0.4279279279279279279279279279279279
66.7,4.35,57.0,28.5,0.4272863568215892053973013493253373
66.8,4.35,57.0,28.5,0.4266467065868263473053892215568862
66.9,4.35,57.0,28.5,0.4260089686098654708520179372197309
67.0,4.35,57.0,28.5,0.4253731343283582089552238805970149
67.1,4.35,57.0,28.5,0.4247391952309985096870342771982116
67.2,4.35,57.0,28.5,0.4241071428571428571428571428571429
67.3,4.35,57.0,28.5,0.4234769687964338781575037147102526
67.4,4.35,57.0,28.5,0.4228486646884272997032640949554896
67.5,4.35,57.0,28.5,0.4222222222222222222222222222222222
67.6,4.35,57.0,28.5,0.4215976331360946745562130177514793
67.7,4.35,57.0,28.5,0.4209748892171344165435745937961595
67.8,4.35,57.0,28.5,0.4203539823008849557522123893805310
67.9,4.35,57.0,28.5,0.4197349042709867452135493372606775
68.0,4.35,57.0,28.5,0.4191176470588235294117647058823529
68.1,4.35,57.0,28.5,0.4185022026431718061674008810572687
68.2,4.35,57.0,28.5,0.4178885630498533724340175953079179
68.3,4.35,57.0,28.5,0.4172767203513909224011713030746706
68.4,4.35,57.0,28.5,0.4166666666666666666666666666666667
68.5,4.35,57.0,28.5,0.4160583941605839416058394160583942
68.6,4.35,57.0,28.5,0.4154518950437317784256559766763848
68.7,4.35,57.0,28.5,0.4148471615720524017467248908296943
68.8,4.35,57.0,28.5,0.4142441860465116279069767441860465
68.9,4.35,57.0,28.5,0.4136429608127721335268505079825835
69.0,4.35,57.0,28.5,0.4130434782608695652173913043478261
69.1,4.35,57.0,28.5,0.4124457308248914616497829232995658
69.2,4.35,57.0,28.5,0.4118497109826589595375722543352601
69.3,4.35,57.0,28.5,0.4112554112554112554112554112554113
69.4,4.35,57.0,28.5,0.4106628242074927953890489913544669
69.5,4.35,57.0,28.5,0.4100719424460431654676258992805755
69.6,4.35,57.0,28.5,0.4094827586206896551724137931034483
69.7,4.35,57.0,28.5,0.4088952654232424677187948350071736
69.8,4.35,57.0,28.5,0.4083094555873925501432664756446991
69.9,4.35,57.0,28.5,0.4077253218884120171673819742489270
70.0,4.35,57.0,28.5,0.4071428571428571428571428571428571
70.1,4.35,57.0,28.5,0.4065620542082738944365192582025678
70.2,4.35,57.0,28.5,0.4059829059829059829059829059829060
70.3,4.35,57.0,28.5,0.4054054054054054054054054054054054
70.4,4.35,57.0,28.5,0.4048295454545454545454545454545455
70.5,4.35,57.0,28.5,0.4042553191489361702127659574468085
70.6,4.35,57.0,28.5,0.4036827195467422096317280453257790
70.7,4.35,57.0,28.5,0.4031117397454031117397454031117397
70.8,4.35,57.0,28.5,0.4025423728813559322033898305084746
70.9,4.35,57.0,28.5,0.4019746121297602256699576868829337
71.0,4.35,57.0,28.5,0.4014084507042253521126760563380282
71.1,4.35,57.0,28.5,0.4008438818565400843881856540084388
71.2,4.35,57.0,28.5,0.4002808988764044943820224719101124
71.3,4.35,57.0,28.5,0.3997194950911640953716690042075736
71.4,4.35,57.0,28.5,0.3991596638655462184873949579831933
71.5,4.35,57.0,28.5,0.3986013986013986013986013986013986
71.6,4.35,57.0,28.5,0.3980446927374301675977653631284916
71.7,4.35,57.0,28.5,0.3974895397489539748953974895397490
71.8,4.35,57.0,28.5,0.3969359331476323119777158774373259
71.9,4.35,57.0,28.5,0.3963838664812239221140472878998609
72.0,4.35,57.0,28.5,0.3958333333333333333333333333333333
72.1,4.35,57.0,28.5,0.3952843273231622746185852981969487
72.2,4.35,57.0,28.5,0.3947368421052631578947368421052632
72.3,4.35,57.0,28.5,0.3941908713692946058091286307053942
72.4,4.35,57.0,28.5,0.3936464088397790055248618784530387
72.5,4.35,57.0,28.5,0.3931034482758620689655172413793103
72.6,4.35,57.0,28.5,0.3925619834710743801652892561983471
72.7,4.35,57.0,28.5,0.3920220082530949105914718019257221
72.8,4.35,57.0,28.5,0.3914835164835164835164835164835165
72.9,4.35,57.0,28.5,0.3909465020576131687242798353909465
73.0,4.35,57.0,28.5,0.3904109589041095890410958904109589
73.1,4.35,57.0,28.5,0.3898768809849521203830369357045144
73.2,4.35,57.0,28.5,0.3893442622950819672131147540983607
73.3,4.35,57.0,28.5,0.3888130968622100954979536152796726
73.4,4.35,57.0,28.5,0.3882833787465940054495912806539510
73.5,4.35,57.0,28.5,0.3877551020408163265306122448979592
73.6,4.35,57.0,28.5,0.3872282608695652173913043478260870
73.7,4.35,57.0,28.5,0.3867028493894165535956580732700136
73.8,4.35,57.0,28.5,0.3861788617886178861788617886178862
73.9,4.35,57.0,28.5,0.3856562922868741542625169147496617
74.0,4.35,57.0,28.5,0.3851351351351351351351351351351351
74.1,4.35,57.0,28.5,0.3846153846153846153846153846153846
74.2,4.35,57.0,28.5,0.3840970350404312668463611859838275
74.3,4.35,57.0,28.5,0.3835800807537012113055181695827725
74.4,4.35,57.0,28.5,0.3830645161290322580645161290322581
74.5,4.35,57.0,28.5,0.3825503355704697986577181208053691
74.6,4.35,57.0,28.5,0.3820375335120643431635388739946381
74.7,4.35,57.0,28.5,0.3815261044176706827309236947791165
74.8,4.35,57.0,28.5,0.3810160427807486631016042780748663
74.9,4.35,57.0,28.5,0.3805073431241655540720961281708945
75.0,4.35,57.0,28.5,0.38
75.1,4.35,57.0,28.5,0.3794940079893475366178428761651132
75.2,4.35,57.0,28.5,0.3789893617021276595744680851063830
75.3,4.35,57.0,28.5,0.3784860557768924302788844621513944
75.4,4.35,57.0,28.5,0.3779840848806366047745358090185676
75.5,4.35,57.0,28.5,0.3774834437086092715231788079470199
75.6,4.35,57.0,28.5,0.3769841269841269841269841269841270
75.7,4.35,57.0,28.5,0.3764861294583883751651254953764861
75.8,4.35,57.0,28.5,0.3759894459102902374670184696569921
75.9,4.35,57.0,28.5,0.3754940711462450592885375494071146
76.0,4.35,57.0,28.5,0.375
76.1,4.35,57.0,28.5,0.3745072273324572930354796320630749
76.2,4.35,57.0,28.5,0.3740157480314960629921259842519685
76.3,4.35,57.0,28.5,0.3735255570117955439056356487549148
76.4,4.35,57.0,28.5,0.3730366492146596858638743455497382
76.5,4.35,57.0,28.5,0.3725490196078431372549019607843137
76.6,4.35,57.0,28.5,0.3720626631853785900783289817232376
76.7,4.35,57.0,28.5,0.3715775749674054758800521512385919
76.8,4.35,57.0,28.5,0.37109375
76.9,4.35,57.0,28.5,0.3706111833550065019505851755526658
77.0,4.35,57.0,28.5,0.3701298701298701298701298701298701
77.1,4.35,57.0,28.5,0.3696498054474708171206225680933852
77.2,4.35,57.0,28.5,0.3691709844559585492227979274611399
77.3,4.35,57.0,28.5,0.3686934023285899094437257438551100
77.4,4.35,57.0,28.5,0.3682170542635658914728682170542636
77.5,4.35,57.0,28.5,0.3677419354838709677419354838709677
77.6,4.35,57.0,28.5,0.3672680412371134020618556701030928
77.7,4.35,57.0,28.5,0.3667953667953667953667953667953668
77.8,4.35,57.0,28.5,0.3663239074550128534704370179948586
77.9,4.35,57.0,28.5,0.3658536585365853658536585365853659
78.0,4.35,57.0,28.5,0.3653846153846153846153846153846154
78.1,4.35,57.0,28.5,0.3649167733674775928297055057618438
78.2,4.35,57.0,28.5,0.3644501278772378516624040920716113
78.3,4.35,57.1,28.55,0.3646232439335887611749680715197957
78.4,4.35,57.3,28.65,0.3654336734693877551020408163265306
78.5,4.35,57.5,28.75,0.3662420382165605095541401273885350
78.6,4.35,57.7,28.85,0.3670483460559796437659033078880407
78.7,4.35,57.9,28.95,0.3678526048284625158831003811944091
78.8,4.35,58.1,29.05,0.3686548223350253807106598984771574
78.9,4.35,58.3,29.15,0.3694550063371356147021546261089987
79.0,4.35,58.5,29.25,0.3702531645569620253164556962025316
79.1,4.35,58.7,29.35,0.3710493046776232616940581542351454
79.2,4.35,58.9,29.45,0.3718434343434343434343434343434343
79.3,4.35,59.1,29.55,0.3726355611601513240857503152585120
79.4,4.35,59.3,29.65,0.3734256926952141057934508816120907
79.5,4.35,59.5,29.75,0.3742138364779874213836477987421384
79.6,4.35,59.7,29.85,0.375
79.7,4.35,59.9,29.95,0.3757841907151819322459222082810540
79.8,4.35,60.1,30.05,0.3765664160401002506265664160401003
79.9,4.35,60.3,30.15,0.3773466833541927409261576971214018
80.0,4.35,60.5,30.25,0.378125
80.1,4.35,60.7,30.35,0.3789013732833957553058676654182272
80.2,4.35,60.9,30.45,0.3796758104738154613466334164588529
80.3,4.35,61.1,30.55,0.3804483188044831880448318804483188
80.4,4.35,61.3,30.65,0.3812189054726368159203980099502488
80.5,4.35,61.5,30.75,0.3819875776397515527950310559006211
80.6,4.35,61.7,30.85,0.3827543424317617866004962779156328
80.7,4.35,61.9,30.95,0.3835192069392812887236679058240397
80.8,4.35,62.1,31.05,0.3842821782178217821782178217821782
80.9,4.40,62.2,31.1,0.3844252163164400494437577255871446
81.0,4.50,62.2,31.1,0.3839506172839506172839506172839506
81.1,4.55,62.2,31.1,0.3834771886559802712700369913686806
81.2,4.55,62.2,31.1,0.3830049261083743842364532019704433
81.3,4.55,62.2,31.1,0.3825338253382533825338253382533825
81.4,4.55,62.2,31.1,0.3820638820638820638820638820638821
81.5,4.55,62.2,31.1,0.3815950920245398773006134969325153
81.6,4.55,62.2,31.1,0.3811274509803921568627450980392157
81.7,4.55,62.2,31.1,0.3806609547123623011015911872705018
81.8,4.55,62.2,31.1,0.3801955990220048899755501222493888
81.9,4.55,62.2,31.1,0.3797313797313797313797313797313797
82.0,4.55,62.2,31.1,0.3792682926829268292682926829268293
82.1,4.55,62.2,31.1,0.3788063337393422655298416565164434
82.2,4.55,62.2,31.1,0.3783454987834549878345498783454988
82.3,4.55,62.2,31.1,0.3778857837181044957472660996354800
82.4,4.55,62.2,31.1,0.3774271844660194174757281553398058
82.5,4.55,62.2,31.1,0.3769696969696969696969696969696970
82.6,4.55,62.2,31.1,0.3765133171912832929782082324455206
82.7,4.55,62.2,31.1,0.3760580411124546553808948004836759
82.8,4.55,62.2,31.1,0.3756038647342995169082125603864734
82.9,4.55,62.2,31.1,0.3751507840772014475271411338962606
83.0,4.55,62.2,31.1,0.3746987951807228915662650602409639
83.1,4.55,62.2,31.1,0.3742478941034897713598074608904934
83.2,4.55,62.2,31.1,0.3737980769230769230769230769230769
83.3,4.55,62.2,31.1,0.3733493397358943577430972388955582
83.4,4.55,62.2,31.1,0.3729016786570743405275779376498801
83.5,4.55,62.2,31.1,0.3724550898203592814371257485029940
83.6,4.55,62.2,31.1,0.3720095693779904306220095693779904
83.7,4.55,62.2,31.1,0.3715651135005973715651135005973716
83.8,4.55,62.2,31.1,0.3711217183770883054892601431980907
83.9,4.55,62.2,31.1,0.3706793802145411203814064362336114
84.0,4.55,62.2,31.1,0.3702380952380952380952380952380952
84.1,4.55,62.2,31.1,0.3697978596908442330558858501783591
84.2,4.55,62.2,31.1,0.3693586698337292161520190023752969
84.3,4.55,62.2,31.1,0.3689205219454329774614472123368921
84.4,4.55,62.2,31.1,0.3684834123222748815165876777251185
84.5,4.55,62.2,31.1,0.3680473372781065088757396449704142
84.6,4.55,62.2,31.1,0.3676122931442080378250591016548463
84.7,4.55,62.2,31.1,0.3671782762691853600944510035419126
84.8,4.55,62.2,31.1,0.3667452830188679245283018867924528
84.9,4.55,62.2,31.1,0.3663133097762073027090694935217903
85.0,4.55,62.2,31.1,0.3658823529411764705882352941176471
85.1,4.55,62.2,31.1,0.3654524089306698002350176263219741
85.2,4.55,62.2,31.1,0.3650234741784037558685446009389671
85.3,4.55,62.2,31.1,0.3645955451348182883939038686987104
85.4,4.55,62.2,31.1,0.3641686182669789227166276346604215
85.5,4.55,62.2,31.1,0.3637426900584795321637426900584795
85.6,4.55,62.2,31.1,0.3633177570093457943925233644859813
85.7,4.55,62.2,31.1,0.3628938156359393232205367561260210
85.8,4.55,62.2,31.1,0.3624708624708624708624708624708625
85.9,4.55,62.2,31.1,0.3620488940628637951105937136204889
86.0,4.55,62.2,31.1,0.3616279069767441860465116279069767
86.1,4.55,62.2,31.1,0.3612078977932636469221835075493612
86.2,4.55,62.2,31.1,0.3607888631090487238979118329466357
86.3,4.55,62.2,31.1,0.3603707995365005793742757821552723
86.4,4.55,62.2,31.1,0.3599537037037037037037037037037037
86.5,4.55,62.2,31.1,0.3595375722543352601156069364161850
86.6,4.55,62.2,31.1,0.3591224018475750577367205542725173
86.7,4.55,62.2,31.1,0.3587081891580161476355247981545559
86.8,4.55,62.2,31.1,0.3582949308755760368663594470046083
86.9,4.55,62.2,31.1,0.3578826237054085155350978135788262
87.0,4.55,62.2,31.1,0.3574712643678160919540229885057471
87.1,4.55,62.2,31.1,0.3570608495981630309988518943742824
87.2,4.55,62.2,31.1,0.3566513761467889908256880733944954
87.3,4.55,62.2,31.1,0.3562428407789232531500572737686140
87.4,4.55,62.2,31.1,0.3558352402745995423340961098398169
87.5,4.55,62.2,31.1,0.3554285714285714285714285714285714
87.6,4.55,62.2,31.1,0.3550228310502283105022831050228311
87.7,4.55,62.2,31.1,0.3546180159635119726339794754846066
87.8,4.55,62.2,31.1,0.3542141230068337129840546697038724
87.9,4.55,62.2,31.1,0.3538111490329920364050056882821388
88.0,4.55,62.2,31.1,0.3534090909090909090909090909090909
88.1,4.55,62.2,31.1,0.3530079455164585698070374574347333
88.2,4.55,62.2,31.1,0.3526077097505668934240362811791383
88.3,4.55,62.2,31.1,0.3522083805209513023782559456398641
88.4,4.55,62.2,31.1,0.3518099547511312217194570135746606
88.5,4.55,62.2,31.1,0.3514124293785310734463276836158192
88.6,4.55,62.2,31.1,0.3510158013544018058690744920993228
88.7,4.55,62.2,31.1,0.3506200676437429537767756482525366
88.8,4.55,62.2,31.1,0.3502252252252252252252252252252252
88.9,4.55,62.2,31.1,0.3498312710911136107986501687289089
89.0,4.55,62.2,31.1,0.3494382022471910112359550561797753
89.1,4.55,62.2,31.1,0.3490460157126823793490460157126824
89.2,4.55,62.2,31.1,0.3486547085201793721973094170403587
89.3,4.55,62.2,31.1,0.3482642777155655095184770436730123
89.4,4.55,62.2,31.1,0.3478747203579418344519015659955257
89.5,4.55,62.2,31.1,0.3474860335195530726256983240223464
89.6,4.55,62.2,31.1,0.3470982142857142857142857142857143
89.7,4.55,62.2,31.1,0.3467112597547380156075808249721293
89.8,4.55,62.2,31.1,0.3463251670378619153674832962138085
89.9,4.55,62.2,31.1,0.3459399332591768631813125695216908
90.0,4.55,62.2,31.1,0.3455555555555555555555555555555556
90.1,4.55,62.2,31.1,0.3451720310765815760266370699223085
90.2,4.55,62.2,31.1,0.3447893569844789356984478935698448
90.3,4.55,62.2,31.1,0.3444075304540420819490586932447398
90.4,4.55,62.2,31.1,0.3440265486725663716814159292035398
