time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
4.6,0.45,8.3,4.15,0.9021739130434782608695652173913043
4.7,0.45,8.5,4.25,0.9042553191489361702127659574468085
4.8,0.45,8.7,4.35,0.90625
4.9,0.45,8.9,4.45,0.9081632653061224489795918367346939
5.0,0.45,9.1,4.55,0.91
5.1,0.45,9.3,4.65,0.9117647058823529411764705882352941
5.2,0.45,9.5,4.75,0.9134615384615384615384615384615385
5.3,0.45,9.7,4.85,0.9150943396226415094339622641509434
5.4,0.45,9.9,4.95,0.9166666666666666666666666666666667
5.5,0.45,10.1,5.05,0.9181818181818181818181818181818182
5.6,0.45,10.3,5.15,0.9196428571428571428571428571428571
5.7,0.45,10.5,5.25,0.9210526315789473684210526315789474
5.8,0.45,10.7,5.35,0.9224137931034482758620689655172414
5.9,0.45,10.9,5.45,0.9237288135593220338983050847457627
6.0,0.45,11.1,5.55,0.925
6.1,0.45,11.3,5.65,0.9262295081967213114754098360655738
6.2,0.45,11.5,5.75,0.9274193548387096774193548387096774
6.3,0.45,11.7,5.85,0.9285714285714285714285714285714286
6.4,0.45,11.9,5.95,0.9296875
6.5,0.45,12.1,6.05,0.9307692307692307692307692307692308
6.6,0.45,12.3,6.15,0.9318181818181818181818181818181818
6.7,0.45,12.5,6.25,0.9328358208955223880597014925373134
6.8,0.45,12.7,6.35,0.9338235294117647058823529411764706
6.9,0.45,12.9,6.45,0.9347826086956521739130434782608696
7.0,0.45,13.1,6.55,0.9357142857142857142857142857142857
7.1,0.45,13.3,6.65,0.9366197183098591549295774647887324
7.2,0.45,13.5,6.75,0.9375
7.3,0.45,13.7,6.85,0.9383561643835616438356164383561644
7.4,0.45,13.9,6.95,0.9391891891891891891891891891891892
7.5,0.45,14.1,7.05,0.94
7.6,0.45,14.3,7.15,0.9407894736842105263157894736842105
7.7,0.45,14.5,7.25,0.9415584415584415584415584415584416
7.8,0.45,14.7,7.35,0.9423076923076923076923076923076923
7.9,0.45,14.9,7.45,0.9430379746835443037974683544303797
8.0,0.45,15.1,7.55,0.94375
8.1,0.45,15.3,7.65,0.9444444444444444444444444444444444
8.2,0.45,15.5,7.75,0.9451219512195121951219512195121951
8.3,0.45,15.7,7.85,0.9457831325301204819277108433734940
8.4,0.45,15.9,7.95,0.9464285714285714285714285714285714
8.5,0.45,16.1,8.05,0.9470588235294117647058823529411765
8.6,0.45,16.3,8.15,0.9476744186046511627906976744186047
8.7,0.45,16.5,8.25,0.9482758620689655172413793103448276
8.8,0.45,16.7,8.35,0.9488636363636363636363636363636364
8.9,0.45,16.9,8.45,0.9494382022471910112359550561797753
9.0,0.45,17.1,8.55,0.95
9.1,0.45,17.3,8.65,0.9505494505494505494505494505494505
9.2,0.45,17.5,8.75,0.9510869565217391304347826086956522
9.3,0.45,17.7,8.85,0.9516129032258064516129032258064516
9.4,0.45,17.9,8.95,0.9521276595744680851063829787234043
9.5,0.45,18.1,9.05,0.9526315789473684210526315789473684
9.6,0.45,18.3,9.15,0.953125
9.7,0.45,18.5,9.25,0.9536082474226804123711340206185567
9.8,0.45,18.7,9.35,0.9540816326530612244897959183673469
9.9,0.45,18.9,9.45,0.9545454545454545454545454545454545
10.0,0.45,19.1,9.55,0.955
10.1,0.45,19.3,9.65,0.9554455445544554455445544554455446
10.2,0.45,19.5,9.75,0.9558823529411764705882352941176471
10.3,0.45,19.7,9.85,0.9563106796116504854368932038834951
10.4,0.45,19.9,9.95,0.9567307692307692307692307692307692
10.5,0.45,20.1,10.05,0.9571428571428571428571428571428571
10.6,0.45,20.3,10.15,0.9575471698113207547169811320754717
10.7,0.45,20.5,10.25,0.9579439252336448598130841121495327
10.8,0.45,20.7,10.35,0.9583333333333333333333333333333333
10.9,0.45,20.9,10.45,0.9587155963302752293577981651376147
11.0,0.45,21.1,10.55,0.9590909090909090909090909090909091
11.1,0.45,21.3,10.65,0.9594594594594594594594594594594595
11.2,0.45,21.5,10.75,0.9598214285714285714285714285714286
11.3,0.45,21.7,10.85,0.9601769911504424778761061946902655
11.4,0.45,21.9,10.95,0.9605263157894736842105263157894737
11.5,0.45,22.1,11.05,0.9608695652173913043478260869565217
11.6,0.45,22.3,11.15,0.9612068965517241379310344827586207
11.7,0.45,22.5,11.25,0.9615384615384615384615384615384615
11.8,0.45,22.7,11.35,0.9618644067796610169491525423728814
11.9,0.45,22.9,11.45,0.9621848739495798319327731092436975
12.0,0.45,23.1,11.55,0.9625
12.1,0.45,23.3,11.65,0.9628099173553719008264462809917355
12.2,0.45,23.5,11.75,0.9631147540983606557377049180327869
12.3,0.45,23.7,11.85,0.9634146341463414634146341463414634
12.4,0.45,23.9,11.95,0.9637096774193548387096774193548387
12.5,0.45,24.1,12.05,0.964
12.6,0.45,24.3,12.15,0.9642857142857142857142857142857143
12.7,0.45,24.5,12.25,0.9645669291338582677165354330708661
12.8,0.45,24.7,12.35,0.96484375
12.9,0.45,24.9,12.45,0.9651162790697674418604651162790698
13.0,0.45,25.1,12.55,0.9653846153846153846153846153846154
13.1,0.45,25.3,12.65,0.9656488549618320610687022900763359
13.2,0.45,25.5,12.75,0.9659090909090909090909090909090909
13.3,0.45,25.7,12.85,0.9661654135338345864661654135338346
13.4,0.45,25.9,12.95,0.9664179104477611940298507462686567
13.5,0.45,26.1,13.05,0.9666666666666666666666666666666667
13.6,0.45,26.3,13.15,0.9669117647058823529411764705882353
13.7,0.45,26.5,13.25,0.9671532846715328467153284671532847
13.8,0.45,26.7,13.35,0.9673913043478260869565217391304348
13.9,0.45,26.9,13.45,0.9676258992805755395683453237410072
14.0,0.45,27.1,13.55,0.9678571428571428571428571428571429
14.1,0.45,27.3,13.65,0.9680851063829787234042553191489362
14.2,0.45,27.5,13.75,0.9683098591549295774647887323943662
14.3,0.45,27.7,13.85,0.9685314685314685314685314685314685
14.4,0.50,27.8,13.9,0.9652777777777777777777777777777778
14.5,0.60,27.8,13.9,0.9586206896551724137931034482758621
14.6,0.70,27.8,13.9,0.9520547945205479452054794520547945
14.7,0.80,27.8,13.9,0.9455782312925170068027210884353741
14.8,0.90,27.8,13.9,0.9391891891891891891891891891891892
14.9,1.00,27.8,13.9,0.9328859060402684563758389261744966
15.0,1.10,27.8,13.9,0.9266666666666666666666666666666667
15.1,1.20,27.8,13.9,0.9205298013245033112582781456953642
15.2,1.30,27.8,13.9,0.9144736842105263157894736842105263
15.3,1.40,27.8,13.9,0.9084967320261437908496732026143791
15.4,1.50,27.8,13.9,0.9025974025974025974025974025974026
15.5,1.60,27.8,13.9,0.8967741935483870967741935483870968
15.6,1.65,27.8,13.9,0.8910256410256410256410256410256410
15.7,1.65,27.8,13.9,0.8853503184713375796178343949044586
15.8,1.65,27.8,13.9,0.8797468354430379746835443037974684
15.9,1.65,27.8,13.9,0.8742138364779874213836477987421384
16.0,1.65,27.8,13.9,0.86875
16.1,1.65,27.8,13.9,0.8633540372670807453416149068322981
16.2,1.65,27.8,13.9,0.8580246913580246913580246913580247
16.3,1.65,27.8,13.9,0.8527607361963190184049079754601227
